,Year,Quarter,RegisteredUsers,AppOpens
0,2018,1,46877867,0
1,2018,2,63648311,0
2,2018,3,80010952,0
3,2018,4,102262055,0
4,2019,1,123432699,0
5,2019,2,141808226,920413791
6,2019,3,159293934,3448366103
7,2019,4,178279085,4301071954
8,2020,1,197575164,4768944662
9,2020,2,218996326,4357634272
10,2020,3,241169683,5739326491
11,2020,4,264271293,7461623162
12,2021,1,284985430,8635508502
13,2021,2,305258086,9630620549
14,2021,3,328354923,12256377890
15,2021,4,351161395,15172529039
16,2022,1,372951831,15724195113
17,2022,2,393424643,17786667567
18,2022,3,414324881,19223454074
19,2022,4,433947940,21262699669
20,2023,1,453886185,22927510601
21,2023,2,472369901,24931188217
